# Recipe Book

// Level (1)
Recipe: SugarTile, Mining, Sugar
Recipe: DoughTile, Mining, Dough
Recipe: FruitTile, Mining, Fruit
Recipe: MintTile, Mining, Mint

// Level (2)
Recipe: Sugar, Sugar, PowderSugar
Recipe: Fruit, Fruit, Jam
Recipe: Fruit, Sugar, Apple
Recipe: Mint, Mint, Ice
Recipe: Sugar, Dough, Cookie
Recipe: Sugar, Mint, CandyCane
Recipe: Dough, Mint, Gum

// Level (3)
Recipe: Dough, PowderSugar, Cake
Recipe: Dough, Jam, Donut
Recipe: Fruit, PowderSugar, CandiedFruit
Recipe: Fruit, Gum, FruitGum
Recipe: Dough, Apple, ApplePie

// Level (4)
Recipe: PowderSugar, PowderSugar, CottonCandy
Recipe: Fruit, Cake, FruitCake
Recipe: Gum, CandyCane, Gumball
Recipe: Jam, Ice, Jello
